shreeyash@ObsedianPrime:/mnt/e/gsm-sip-gatewaygit/gsm-sip-gatewaygit/android$ adb shell su -c "tinymix"
Mixer name: 'sm6150-idp-snd-card'
Number of controls: 3409
ctl     type    num     name                                     value

0       INT     3       Voice Rx Device Mute                     -1 -1 -1
1       INT     3       Voice Tx Device Mute                     -1 -1 -1
2       INT     3       Voice Tx Mute                            -1 -1 -1
3       INT     3       Voice Rx Gain                            -1 -1 -1
4       ENUM    1       TTY Mode                                 OFF
5       INT     2       Slowtalk Enable                          -1 -1
6       INT     2       Voice Topology Disable                   -1 -1
7       INT     2       HD Voice Enable                          -1 -1
8       BYTE    31      CVD Version                               32  2e  34  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
9       BOOL    1       Voice Sidetone Enable                    On
10      BOOL    1       Voice Mic Break Enable                   Off
11      INT     1       Voc Rec Config                           1
12      INT     2       Voip Tx Mute                             -1 -1
13      INT     2       Voip Rx Gain                             -1 -1
14      INT     1       Voip Mode Config                         12
15      INT     1       Voip Rate Config                         -1
16      INT     2       Voip Evrc Min Max Rate Config            1 4
17      BOOL    1       Voip Dtx Mode                            Off
18      BOOL    1       Compress Gapless Playback                Off
19      BOOL    1       HFP TX Mute                              Off
20      BOOL    1       SLIMBUS_DL_HL Switch                     Off
21      BOOL    1       SLIMBUS1_DL_HL Switch                    Off
22      BOOL    1       SLIMBUS3_DL_HL Switch                    Off
23      BOOL    1       SLIMBUS4_DL_HL Switch                    Off
24      BOOL    1       SLIMBUS6_DL_HL Switch                    Off
25      BOOL    1       PCM_RX_DL_HL Switch                      Off
26      BOOL    1       HFP_PRI_AUX_UL_HL Switch                 Off
27      BOOL    1       HFP_AUX_UL_HL Switch                     Off
28      BOOL    1       HFP_INT_UL_HL Switch                     Off
29      BOOL    1       HFP_SLIM7_UL_HL Switch                   Off
30      BOOL    1       USB_DL_HL Switch                         Off
31      BOOL    1       A2DP_SLIM7_UL_HL Switch                  Off
32      BOOL    1       WSA_CDC_DMA_RX_0_DL_HL Switch            Off
33      BOOL    1       RX_CDC_DMA_RX_0_DL_HL Switch             Off
34      BOOL    2       SLIMBUS_0_RX Audio Mixer MultiMedia1     On Off
35      BOOL    2       SLIMBUS_0_RX Audio Mixer MultiMedia2     Off Off
